time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Feb-14,WA,9 427,9427,,,,,,,,,,,,,,,,,,,,
1-Feb-14,TAS,1 263,1263,,,,,,,,,,,,,,,,,,,,
1-Feb-14,NT,791,791,,,,,,,,,,,,,,,,,,,,
1-Feb-14,ACT,1 407,1407,,,,,,,,,,,,,,,,,,,,
1-Mar-14,NSW,30 656,30656,,,,,,,,,,,,,,,,,,,,
1-Mar-14,VIC,26 311,26311,,,,,,,,,,,,,,,,,,,,
1-Mar-14,QLD,20 073,20073,,,,,,,,,,,,,,,,,,,,
1-Mar-14,SA,6 184,6184,,,,,,,,,,,,,,,,,,,,
1-Mar-14,WA,10 117,10117,,,,,,,,,,,,,,,,,,,,
1-Mar-14,TAS,1 457,1457,,,,,,,,,,,,,,,,,,,,
1-Mar-14,NT,998,998,,,,,,,,,,,,,,,,,,,,
1-Mar-14,ACT,1 471,1471,,,,,,,,,,,,,,,,,,,,
1-Apr-14,NSW,25 625,25625,,,,,,,,,,,,,,,,,,,,
1-Apr-14,VIC,21 108,21108,,,,,,,,,,,,,,,,,,,,
1-Apr-14,QLD,17 041,17041,,,,,,,,,,,,,,,,,,,,
1-Apr-14,SA,4 897,4897,,,,,,,,,,,,,,,,,,,,
1-Apr-14,WA,8 604,8604,,,,,,,,,,,,,,,,,,,,
1-Apr-14,TAS,1 182,1182,,,,,,,,,,,,,,,,,,,,
1-Apr-14,NT,1 070,1070,,,,,,,,,,,,,,,,,,,,
1-Apr-14,ACT,1 183,1183,,,,,,,,,,,,,,,,,,,,
1-May-14,NSW,29 788,29788,,,,,,,,,,,,,,,,,,,,
1-May-14,VIC,26 042,26042,,,,,,,,,,,,,,,,,,,,
1-May-14,QLD,19 252,19252,,,,,,,,,,,,,,,,,,,,
1-May-14,SA,5 764,5764,,,,,,,,,,,,,,,,,,,,
1-May-14,WA,9 920,9920,,,,,,,,,,,,,,,,,,,,
1-May-14,TAS,1 409,1409,,,,,,,,,,,,,,,,,,,,
1-May-14,NT,978,978,,,,,,,,,,,,,,,,,,,,
1-May-14,ACT,1 409,1409,,,,,,,,,,,,,,,,,,,,
1-Jun-14,NSW,37 575,37575,,,,,,,,,,,,,,,,,,,,
1-Jun-14,VIC,31 327,31327,,,,,,,,,,,,,,,,,,,,
1-Jun-14,QLD,24 643,24643,,,,,,,,,,,,,,,,,,,,
1-Jun-14,SA,7 531,7531,,,,,,,,,,,,,,,,,,,,
1-Jun-14,WA,12 440,12440,,,,,,,,,,,,,,,,,,,,
1-Jun-14,TAS,1 743,1743,,,,,,,,,,,,,,,,,,,,
1-Jun-14,NT,1 258,1258,,,,,,,,,,,,,,,,,,,,
1-Jun-14,ACT,1 792,1792,,,,,,,,,,,,,,,,,,,,
1-Jul-14,NSW,28 587,28587,,,,,,,,,,,,,,,,,,,,
1-Jul-14,VIC,24 756,24756,,,,,,,,,,,,,,,,,,,,
1-Jul-14,QLD,17 767,17767,,,,,,,,,,,,,,,,,,,,
1-Jul-14,SA,5 514,5514,,,,,,,,,,,,,,,,,,,,
1-Jul-14,WA,9 556,9556,,,,,,,,,,,,,,,,,,,,
1-Jul-14,TAS,1 302,1302,,,,,,,,,,,,,,,,,,,,
1-Jul-14,NT,913,913,,,,,,,,,,,,,,,,,,,,
1-Jul-14,ACT,1 472,1472,,,,,,,,,,,,,,,,,,,,
1-Aug-14,NSW,28 404,28404,,,,,,,,,,,,,,,,,,,,
1-Aug-14,VIC,24 184,24184,,,,,,,,,,,,,,,,,,,,
1-Aug-14,QLD,17 169,17169,,,,,,,,,,,,,,,,,,,,
1-Aug-14,SA,5 618,5618,,,,,,,,,,,,,,,,,,,,
1-Aug-14,WA,9 137,9137,,,,,,,,,,,,,,,,,,,,
